Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-06-03,704.0,774.4000244140625,701.0,774.4000244140625,3932403,0,0
2022-06-06,792.9000244140625,833.7999877929688,706.7000122070312,799.2999877929688,8754400,0,0
2022-06-07,768.2999877929688,813.0,768.25,791.0499877929688,2089555,0,0
2022-06-08,797.0,808.0,781.0,786.1500244140625,558537,0,0
2022-06-09,772.0,807.25,772.0,793.3499755859375,509855,0,0
2022-06-10,781.0999755859375,799.3499755859375,781.0999755859375,786.0999755859375,499889,0,0
2022-06-13,770.0,803.0,751.0499877929688,788.9000244140625,504766,0,0
2022-06-14,793.0,827.7000122070312,781.0,783.1500244140625,416790,0,0
2022-06-15,797.0,805.0,788.0499877929688,795.9500122070312,225224,0,0
2022-06-16,811.0,811.0,768.0,781.0999755859375,284705,0,0
2022-06-17,773.0,790.0,765.0,770.5499877929688,135911,0,0
2022-06-20,768.0,768.0,735.5999755859375,750.4000244140625,232080,0,0
2022-06-21,758.0,773.7999877929688,752.0999755859375,762.7999877929688,116434,0,0
2022-06-22,751.0,779.7999877929688,749.8499755859375,768.9500122070312,102498,0,0
2022-06-23,770.0,782.6500244140625,757.1500244140625,761.4500122070312,59564,0,0
2022-06-24,770.0999755859375,774.75,761.0,764.0,34240,0,0
2022-06-27,770.0499877929688,775.75,759.2999877929688,765.4000244140625,64118,0,0
2022-06-28,760.0,788.0,760.0,775.4500122070312,128856,0,0
2022-06-29,768.0,786.4500122070312,768.0,779.75,49922,0,0
2022-06-30,777.9500122070312,785.5,777.0,780.4500122070312,48920,0,0
2022-07-01,778.5,794.9500122070312,771.8499755859375,774.3499755859375,69949,0,0
2022-07-04,767.25,780.0,762.0,776.8499755859375,52513,0,0
2022-07-05,775.5,790.0,775.5,785.1500244140625,97334,0,0
2022-07-06,781.0999755859375,807.9000244140625,777.25,796.75,168656,0,0
2022-07-07,804.3499755859375,874.0,803.5999755859375,830.5999755859375,575230,0,0
2022-07-08,842.4000244140625,845.9500122070312,818.0,828.7000122070312,151467,0,0
2022-07-11,828.0,843.4000244140625,818.0999755859375,824.0499877929688,70272,0,0
2022-07-12,824.0,840.5499877929688,815.0,819.3499755859375,69958,0,0
2022-07-13,824.0,844.7000122070312,821.9000244140625,824.4000244140625,90577,0,0
2022-07-14,828.0,840.0,822.0,827.0,77435,0,0
2022-07-15,838.0,882.0,830.0,853.7000122070312,266091,0,0
2022-07-18,867.75,933.0,862.0,917.4000244140625,403434,0,0
2022-07-19,931.0,987.0,931.0,961.7999877929688,559978,0,0
2022-07-20,977.9000244140625,1006.8499755859375,915.0,921.0999755859375,535219,0,0
2022-07-21,929.9500122070312,941.9500122070312,910.0999755859375,935.4000244140625,213587,0,0
2022-07-22,945.0,945.0,905.5499877929688,915.0999755859375,127781,0,0
2022-07-25,922.0,940.2999877929688,884.0,897.5,206978,0,0
2022-07-26,900.0,930.0,888.5999755859375,903.0499877929688,183504,0,0
2022-07-27,881.3499755859375,919.9500122070312,851.75,877.5499877929688,169122,0,0
2022-07-28,884.5,884.5,835.25,839.1500244140625,201669,0,0
2022-07-29,847.75,854.5999755859375,836.5,847.5499877929688,90044,0,0
2022-08-01,855.0,865.75,838.5999755859375,855.0999755859375,84495,0,0
2022-08-02,855.0,874.7000122070312,851.5499877929688,858.5499877929688,90431,0,0
2022-08-03,858.5499877929688,862.9500122070312,825.9500122070312,834.2999877929688,96034,0,0
2022-08-04,835.0,844.7000122070312,815.0,821.7999877929688,73908,0,0
2022-08-05,824.0,839.9500122070312,822.0999755859375,824.5999755859375,134337,0,0
2022-08-08,833.0,837.0,817.75,821.6500244140625,56303,0,0
2022-08-10,827.5,832.0,815.75,818.5499877929688,78707,0,0
2022-08-11,820.0,856.4500122070312,818.0,837.5,118972,0,0
2022-08-12,839.7999877929688,844.0,833.0,835.0499877929688,41454,0,0
2022-08-16,802.0999755859375,835.0,802.0999755859375,828.6500244140625,56312,0,0
2022-08-17,828.6500244140625,849.8499755859375,828.6500244140625,836.5499877929688,46610,0,0
2022-08-18,838.0,845.4500122070312,831.0,841.5,52015,0,0
