Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-08-18,17.149999618530273,18.0,17.049999237060547,17.549999237060547,5158,0,0
2011-08-19,16.549999237060547,17.0,16.25,16.950000762939453,6917,0,0
2011-08-22,16.850000381469727,19.950000762939453,16.850000381469727,17.149999618530273,5761,0,0
2011-08-23,17.899999618530273,18.5,17.0,18.0,7700,0,0
2011-08-24,17.549999237060547,20.450000762939453,17.549999237060547,19.049999237060547,35541,0,0
2011-08-25,18.549999237060547,19.600000381469727,18.549999237060547,19.049999237060547,7153,0,0
2011-08-26,19.600000381469727,22.899999618530273,19.600000381469727,22.899999618530273,108158,0,0
2011-08-29,23.0,26.5,21.649999618530273,23.600000381469727,84430,0,0
2011-08-30,25.5,25.5,22.299999237060547,22.649999618530273,38239,0,0
2011-09-02,22.600000381469727,22.700000762939453,20.799999237060547,21.25,15117,0,0
2011-09-05,21.899999618530273,21.899999618530273,20.149999618530273,20.799999237060547,13868,0,0
2011-09-06,20.0,21.5,19.850000381469727,20.5,19640,0,0
2011-09-07,21.350000381469727,21.350000381469727,20.0,20.100000381469727,14766,0,0
2011-09-08,20.950000762939453,20.950000762939453,19.5,19.600000381469727,13596,0,0
2011-09-09,19.950000762939453,19.950000762939453,19.0,19.299999237060547,7054,0,0
2011-09-12,19.100000381469727,19.899999618530273,19.049999237060547,19.100000381469727,1257,0,0
2011-09-13,19.100000381469727,19.700000762939453,18.200000762939453,19.399999618530273,3587,0,0
2011-09-14,18.850000381469727,19.399999618530273,18.75,19.299999237060547,5311,0,0
2011-09-15,19.399999618530273,19.799999237060547,18.899999618530273,19.25,5027,0,0
2011-09-16,18.299999237060547,19.5,18.299999237060547,19.350000381469727,6361,0,0
2011-09-19,20.0,20.0,18.850000381469727,19.0,2113,0,0
2011-09-20,18.450000762939453,19.5,18.450000762939453,18.75,3718,0,0
2011-09-21,18.799999237060547,19.399999618530273,18.350000381469727,19.299999237060547,1279,0,0
2011-09-22,18.549999237060547,19.25,18.549999237060547,19.0,2386,0,0
2011-09-23,19.0,19.0,18.049999237060547,18.850000381469727,4740,0,0
2011-09-26,18.0,19.450000762939453,18.0,18.200000762939453,5489,0,0
2011-09-27,18.950000762939453,19.149999618530273,18.399999618530273,19.100000381469727,4640,0,0
2011-09-28,18.299999237060547,19.649999618530273,18.299999237060547,19.200000762939453,4651,0,0
2011-09-29,18.399999618530273,19.200000762939453,18.399999618530273,18.549999237060547,6751,0,0
2011-09-30,18.049999237060547,19.299999237060547,18.049999237060547,18.649999618530273,1368,0,0
