Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-08-18,17.0,17.0,17.0,17.0,0,0,0
2011-08-19,16.0,18.25,15.399999618530273,15.399999618530273,784,0,0
2011-08-22,14.149999618530273,15.75,14.149999618530273,14.850000381469727,430,0,0
2011-08-23,14.149999618530273,15.399999618530273,14.100000381469727,14.699999809265137,1029,0,0
2011-08-24,15.800000190734863,15.800000190734863,14.199999809265137,14.199999809265137,2000,0,0
2011-08-25,13.75,15.5,12.800000190734863,13.199999809265137,30055,0,0
2011-08-26,13.350000381469727,13.5,12.649999618530273,12.899999618530273,306,0,0
2011-08-29,12.550000190734863,13.550000190734863,12.5,13.550000190734863,1845,0,0
2011-08-30,14.199999809265137,14.25,13.399999618530273,14.25,5060,0,0
2011-09-02,15.0,15.0,14.149999618530273,15.0,1431,0,0
2011-09-05,15.0,15.5,15.0,15.5,5,0,0
2011-09-06,15.5,15.5,14.75,14.850000381469727,866,0,0
2011-09-07,14.600000381469727,15.600000381469727,14.600000381469727,15.300000190734863,1075,0,0
2011-09-08,14.699999809265137,14.699999809265137,14.550000190734863,14.550000190734863,461,0,0
2011-09-09,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,50,0,0
2011-09-12,14.800000190734863,14.800000190734863,14.800000190734863,14.800000190734863,1,0,0
2011-09-13,14.199999809265137,14.199999809265137,14.149999618530273,14.149999618530273,51,0,0
2011-09-14,14.149999618530273,14.149999618530273,14.149999618530273,14.149999618530273,0,0,0
2011-09-15,14.149999618530273,14.149999618530273,14.149999618530273,14.149999618530273,0,0,0
2011-09-16,14.850000381469727,14.850000381469727,14.0,14.050000190734863,2250,0,0
2011-09-19,14.050000190734863,14.050000190734863,14.050000190734863,14.050000190734863,0,0,0
2011-09-20,14.050000190734863,14.050000190734863,14.050000190734863,14.050000190734863,458,0,0
2011-09-21,14.050000190734863,14.050000190734863,14.050000190734863,14.050000190734863,0,0,0
2011-09-22,14.050000190734863,14.050000190734863,14.0,14.0,156,0,0
2011-09-23,14.0,14.0,14.0,14.0,21,0,0
2011-09-26,14.0,14.0,14.0,14.0,0,0,0
2011-09-27,14.0,14.0,14.0,14.0,0,0,0
2011-09-28,14.0,14.0,14.0,14.0,0,0,0
