Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-09-18,149.0,164.0,135.0,162.5,171200,0,0
2018-09-19,161.0,174.3000030517578,154.5,171.5500030517578,121600,0,0
2018-09-21,179.89999389648438,186.0,166.0,182.0,169600,0,0
2018-09-24,180.0500030517578,195.8000030517578,180.0500030517578,190.64999389648438,80000,0,0
2018-09-25,190.0,205.5,190.0,204.1999969482422,107200,0,0
2018-09-26,212.0,214.5,198.3000030517578,203.75,60800,0,0
2018-09-27,209.0,216.5,198.0,212.35000610351562,318400,0,0
2018-09-28,217.8000030517578,217.8000030517578,196.0,197.5500030517578,176000,0,0
2018-10-01,204.0,204.0,198.0,201.35000610351562,104000,0,0
2018-10-03,205.10000610351562,213.0,203.3000030517578,204.0,32000,0,0
2018-10-04,202.60000610351562,205.89999389648438,200.5,205.89999389648438,20800,0,0
2018-10-05,201.3000030517578,209.9499969482422,200.0,208.75,52800,0,0
2018-10-08,202.5500030517578,207.5,201.35000610351562,206.10000610351562,14400,0,0
2018-10-09,204.0,204.6999969482422,202.25,203.64999389648438,48000,0,0
2018-10-10,204.0,207.89999389648438,204.0,207.5,14400,0,0
2018-10-11,204.0,209.35000610351562,203.0,203.1999969482422,16000,0,0
2018-10-12,205.35000610351562,217.0,205.35000610351562,213.85000610351562,35200,0,0
2018-10-15,216.0,226.0,216.0,223.25,27200,0,0
2018-10-16,224.5,226.0,224.5,226.0,3200,0,0
2018-10-17,224.0,224.0,221.0,221.0,12800,0,0
2018-10-19,218.0500030517578,218.0500030517578,215.1999969482422,217.0,20800,0,0
2018-10-22,214.60000610351562,224.0,213.5,222.0,19200,0,0
2018-10-23,214.5,220.8000030517578,214.5,217.6999969482422,8000,0,0
2018-10-24,215.0,215.0,213.0,213.5,8000,0,0
2018-10-25,214.0,214.0,210.5,210.5,9600,0,0
2018-10-26,210.0,210.0,209.0,210.0,20800,0,0
2018-10-29,210.0,210.0,205.3000030517578,205.6999969482422,38400,0,0
2018-10-30,205.5,208.0,204.10000610351562,205.4499969482422,16000,0,0
2018-10-31,205.3000030517578,206.5,205.3000030517578,206.0,9600,0,0
2018-11-01,205.1999969482422,207.5,203.0,204.3000030517578,20800,0,0
2018-11-02,204.0500030517578,207.9499969482422,203.0,207.9499969482422,17600,0,0
2018-11-05,207.0,207.0,205.0,205.0,9600,0,0
2018-11-06,206.25,206.25,206.25,206.25,6400,0,0
2018-11-07,210.25,210.25,208.0,209.39999389648438,6400,0,0
2018-11-09,210.0,210.0,210.0,210.0,4800,0,0
2018-11-12,210.5,210.5,210.5,210.5,3200,0,0
2018-11-13,207.35000610351562,209.25,207.35000610351562,209.25,3200,0,0
