Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-08-18,8.136983049645105,8.158063196824152,7.96834094744207,8.025890350341797,36340,0.0,0.0
2011-08-19,8.174928408134676,8.174928408134676,7.862940338608547,7.958644866943359,46460,0.0,0.0
2011-08-22,8.221303424593401,8.221303424593401,7.926180446989783,8.042543411254883,61410,0.0,0.0
2011-08-23,8.38994766415798,8.38994766415798,8.019567682478046,8.295929908752441,27370,0.0,0.0
2011-08-24,8.537508255849936,8.558588404412337,8.09482328649807,8.186100006103516,37260,0.0,0.0
2011-08-25,8.411027695057024,8.427891814569762,8.094823604651689,8.162280082702637,47610,0.0,0.0
2011-08-26,8.305626597569942,8.373294852802573,7.862940655441693,7.993638515472412,45310,0.0,0.0
2011-08-29,8.221305750321166,8.404704465047907,8.010503299607286,8.270001411437988,58190,0.0,0.0
2011-08-30,8.263466203719586,8.410184791804708,8.263466203719586,8.364230155944824,46920,0.0,0.0
2011-09-02,8.515584743608768,8.515584743608768,8.305624821469983,8.425992965698242,15870,0.0,0.0
2011-09-05,8.42725889094788,8.431264072912814,8.221725825315774,8.407865524291992,9430,0.0,0.0
2011-09-06,8.242385045602045,8.42367524348719,8.221303972794784,8.295084953308105,11500,0.0,0.0
2011-09-07,8.537508090542103,8.537508090542103,8.32670568422904,8.359590530395508,15180,0.0,0.0
2011-09-08,8.529077143157247,8.529077143157247,8.330921896619005,8.398378372192383,76360,0.0,0.0
2011-09-09,8.115902487241112,8.432106528290538,8.115902487241112,8.382356643676758,66470,0.0,0.0
2011-09-12,8.495347602149035,8.495347602149035,8.306047043710556,8.410815238952637,12420,0.0,0.0
2011-09-13,8.45297696462882,8.45297696462882,8.326706904912472,8.39353084564209,11040,0.0,0.0
2011-09-14,8.347786339064966,8.432107861570636,8.347786339064966,8.381515502929688,9200,0.0,0.0
2011-09-15,8.348207383853913,8.348207383853913,8.26346509725824,8.292976379394531,54970,0.0,0.0
2011-09-16,8.394161803981643,8.394161803981643,8.21793103303486,8.219616889953613,12190,0.0,0.0
2011-09-19,9.190995643089579,9.190995643089579,8.284544721518138,8.352001190185547,6900,0.0,0.0
2011-09-20,9.190995662106129,9.190995662106129,8.158062934875488,8.158062934875488,15180,0.0,0.0
2011-09-21,9.043435726086955,9.043435726086955,8.26346643269926,8.326706886291504,4830,0.0,0.0
2011-09-22,8.727231257709844,8.727231257709844,8.010501597906757,8.14963150024414,11500,0.0,0.0
2011-09-23,8.221303972450897,8.221303972450897,7.720647913484029,7.93039608001709,18630,0.0,0.0
2011-09-26,8.010502269699963,8.010502269699963,7.378094074095916,7.850292205810547,32430,0.0,0.0
2011-09-27,8.220670921697586,8.221303464815204,8.010501072703969,8.014717102050781,11730,0.0,0.0
2011-09-28,8.368865879759477,8.368865879759477,8.16227950556498,8.186732292175293,75670,0.0,0.0
2011-09-29,8.300777549143646,8.347786421561034,8.242385673350782,8.337457656860352,31280,0.0,0.0
2011-09-30,8.326706185539708,8.432107857427315,8.268314310352588,8.41144847869873,6900,0.0,0.0
2011-10-03,8.221305253214142,8.305415935511933,8.010502815246582,8.010502815246582,7130,0.0,0.0
2011-10-04,8.094822887101248,8.326705434617347,8.010501372241329,8.180197715759277,9890,0.0,0.0
