Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-08-18,36.0,37.650001525878906,36.0,37.099998474121094,59267,0,0
2011-08-19,38.0,38.45000076293945,36.25,38.400001525878906,74935,0,0
2011-08-22,37.0,38.70000076293945,37.0,38.04999923706055,6505,0,0
2011-08-23,37.150001525878906,39.45000076293945,37.150001525878906,38.95000076293945,95542,0,0
2011-08-24,38.04999923706055,39.54999923706055,38.04999923706055,39.0,24739,0,0
2011-08-25,39.04999923706055,39.70000076293945,39.0,39.25,12652,0,0
2011-08-26,38.54999923706055,39.400001525878906,37.70000076293945,39.0,54663,0,0
2011-08-29,38.29999923706055,39.900001525878906,38.29999923706055,39.70000076293945,5953,0,0
2011-08-30,40.0,41.70000076293945,39.25,41.70000076293945,14725,0,0
2011-09-02,42.599998474121094,43.349998474121094,40.0,42.099998474121094,17648,0,0
2011-09-05,42.5,43.0,41.0,42.75,14803,0,0
2011-09-06,41.04999923706055,44.900001525878906,41.0,44.349998474121094,23946,0,0
2011-09-07,44.5,45.79999923706055,43.25,43.900001525878906,17451,0,0
2011-09-08,44.400001525878906,44.75,43.04999923706055,43.29999923706055,13697,0,0
2011-09-09,43.54999923706055,43.70000076293945,41.599998474121094,41.95000076293945,14630,0,0
2011-09-12,41.900001525878906,41.900001525878906,40.5,41.04999923706055,15084,0,0
2011-09-13,40.849998474121094,41.95000076293945,40.650001525878906,41.75,9870,0,0
2011-09-14,41.20000076293945,42.0,40.75,41.150001525878906,6795,0,0
2011-09-15,40.900001525878906,41.900001525878906,40.0,40.400001525878906,11480,0,0
2011-09-16,40.099998474121094,40.79999923706055,38.849998474121094,39.29999923706055,11351,0,0
2011-09-19,39.04999923706055,40.0,39.04999923706055,39.5,9504,0,0
2011-09-20,39.849998474121094,39.849998474121094,38.900001525878906,39.20000076293945,5020,0,0
2011-09-21,38.5,40.45000076293945,38.5,39.849998474121094,17795,0,0
2011-09-22,39.0,40.599998474121094,38.150001525878906,39.400001525878906,39386,0,0
2011-09-23,39.0,39.5,37.79999923706055,38.900001525878906,13491,0,0
2011-09-26,39.0,39.0,36.95000076293945,36.95000076293945,22363,0,0
2011-09-27,36.70000076293945,38.25,36.70000076293945,37.099998474121094,16536,0,0
2011-09-28,37.0,38.0,35.54999923706055,36.0,8066,0,0
2011-09-29,36.5,37.45000076293945,35.400001525878906,36.25,5200,0,0
2011-09-30,36.0,36.099998474121094,35.0,35.0,7755,0,0
2011-10-03,35.0,35.20000076293945,33.25,33.25,11709,0,0
2011-10-04,32.29999923706055,33.20000076293945,31.700000762939453,31.899999618530273,14823,0,0
2011-10-05,31.649999618530273,33.400001525878906,31.649999618530273,32.599998474121094,7152,0,0
2011-10-07,32.04999923706055,33.54999923706055,31.200000762939453,33.099998474121094,5660,0,0
2011-10-10,33.099998474121094,34.5,33.099998474121094,33.54999923706055,7829,0,0
2011-10-11,35.25,35.25,34.099998474121094,34.79999923706055,8831,0,0
2011-10-12,36.20000076293945,36.20000076293945,34.599998474121094,35.20000076293945,11268,0,0
2011-10-13,35.0,35.099998474121094,33.650001525878906,34.20000076293945,12089,0,0
2011-10-14,33.5,34.45000076293945,33.45000076293945,33.70000076293945,3403,0,0
2011-10-17,32.75,33.70000076293945,32.75,33.25,3491,0,0
2011-10-18,32.400001525878906,33.0,32.400001525878906,32.849998474121094,4599,0,0
2011-10-19,33.79999923706055,33.79999923706055,32.150001525878906,32.900001525878906,4821,0,0
2011-10-20,32.599998474121094,33.599998474121094,32.5,33.150001525878906,4178,0,0
2011-10-21,32.349998474121094,33.5,32.29999923706055,32.400001525878906,8828,0,0
