Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-04-29,121.0,121.9000015258789,110.05000305175781,113.3499984741211,67484,0,0
2022-05-02,112.9000015258789,118.0,111.05000305175781,113.5,42756,0,0
2022-05-04,114.75,114.80000305175781,106.05000305175781,106.75,29108,0,0
2022-05-05,106.75,109.05000305175781,104.5,104.94999694824219,19776,0,0
2022-05-06,97.05000305175781,104.4000015258789,97.05000305175781,100.30000305175781,33563,0,0
2022-05-09,100.0,100.0,96.05000305175781,97.19999694824219,28510,0,0
2022-05-10,98.5999984741211,107.94999694824219,98.5999984741211,100.19999694824219,54327,0,0
2022-05-11,100.69999694824219,102.94999694824219,94.0,97.6500015258789,36633,0,0
2022-05-12,101.0,101.0,92.80000305175781,94.3499984741211,41785,0,0
2022-05-13,96.0,102.6500015258789,96.0,97.5999984741211,32162,0,0
2022-05-16,99.75,100.0,96.5,99.05000305175781,16541,0,0
2022-05-17,104.94999694824219,104.94999694824219,99.05000305175781,100.55000305175781,35666,0,0
2022-05-18,100.94999694824219,102.44999694824219,99.5,100.19999694824219,23914,0,0
2022-05-19,96.25,99.94999694824219,95.0,98.3499984741211,23148,0,0
2022-05-20,101.5999984741211,102.94999694824219,99.05000305175781,100.55000305175781,18336,0,0
2022-05-23,100.5999984741211,120.19999694824219,98.44999694824219,103.0,37960,0,0
2022-05-24,103.0,103.0,95.30000305175781,97.44999694824219,29817,0,0
2022-05-25,99.4000015258789,100.0,95.3499984741211,96.5,17777,0,0
2022-05-26,98.19999694824219,99.05000305175781,90.94999694824219,93.3499984741211,37646,0,0
2022-05-27,98.75,98.75,93.80000305175781,95.3499984741211,12313,0,0
2022-05-30,99.0,103.80000305175781,96.19999694824219,100.44999694824219,47339,0,0
2022-05-31,94.0,97.94999694824219,93.94999694824219,96.4000015258789,27103,0,0
2022-06-01,98.1500015258789,98.1500015258789,94.19999694824219,94.5,18835,0,0
2022-06-02,93.55000305175781,96.0,93.55000305175781,94.5999984741211,20848,0,0
2022-06-03,96.69999694824219,96.69999694824219,93.0999984741211,93.8499984741211,20451,0,0
2022-06-06,96.9000015258789,96.9000015258789,92.05000305175781,93.3499984741211,7247,0,0
2022-06-07,97.55000305175781,97.55000305175781,92.25,92.75,15728,0,0
2022-06-08,92.8499984741211,95.0,90.0,91.19999694824219,20869,0,0
2022-06-09,93.0,93.0,88.25,90.05000305175781,65914,0,0
2022-06-10,91.6500015258789,91.6500015258789,86.05000305175781,87.5999984741211,23271,0,0
2022-06-13,81.80000305175781,86.94999694824219,79.25,80.9000015258789,50542,0,0
2022-06-14,82.3499984741211,88.0,80.94999694824219,84.19999694824219,43300,0,0
2022-06-15,86.30000305175781,86.30000305175781,82.05000305175781,83.19999694824219,21003,0,0
