Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-07-21,605.765436356761,644.8177808295358,604.8572422992547,633.55615234375,11824029,0.0,0
2016-07-22,635.73583984375,643.6371392253042,632.2847135138086,635.73583984375,820402,0.0,0
2016-07-25,636.6439813680946,636.6439813680946,628.470235530273,629.423828125,260240,0.0,0
2016-07-26,631.1039785981093,637.0980363108682,626.6538062074114,628.6064453125,312995,0.0,0
2016-07-27,628.5609704983017,633.6014909444493,623.974602429923,626.56298828125,168708,0.0,0
2016-07-28,628.1070279755844,633.0112983709655,615.619358890074,617.481201171875,375033,0.0,0
2016-07-29,626.6538970436238,635.735837580488,622.1129267751918,628.2886352539062,726870,0.0,0
2016-08-01,631.0585374234283,632.420828334264,619.9331616516033,623.8384399414062,347573,0.0,0
2016-08-02,622.1582179817558,626.6537888577386,619.8423346310241,620.8867797851562,268056,0.0,0
2016-08-03,622.1128077787512,624.8373894186582,615.4830035413287,617.5718383789062,116318,0.0,0
2016-08-04,619.4338289449832,621.2048186810867,616.7546450295215,618.525634765625,134769,0.0,0
2016-08-05,619.3429653601617,649.3587686865206,618.9342669368725,633.6016235351562,593783,0.0,0
2016-08-08,635.7356429799646,643.0011931854499,632.3753149235778,636.5530395507812,347844,0.0,0
2016-08-09,638.6420675524831,645.7259700617441,632.3755064298106,634.19189453125,341932,0.0,0
2016-08-10,635.6449529609141,636.5985454998341,626.6538108927924,626.880859375,84904,0.0,0
2016-08-11,627.5620817356274,633.0112459764578,619.8424323944511,621.2501220703125,96842,0.0,0
2016-08-12,623.6113869194855,627.6528055801562,620.2964568878645,622.2944946289062,74615,0.0,0
2016-08-16,622.2945259416709,624.8374579983351,618.7525472483362,619.3428955078125,64845,0.0,0
2016-08-17,619.4790637823606,628.0161089839128,615.0289467391439,616.6182861328125,90769,0.0,0
2016-08-18,617.3901918013953,619.2519781788864,612.1226783559005,612.9854736328125,152898,0.0,0
2016-08-19,613.0310568486573,617.4812303970083,601.8148811664315,603.5858154296875,222490,0.0,0
