Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-08-18,132.9446369919111,133.24006501061717,122.0505625717406,125.3003158569336,385971,0.0,0
2011-08-19,124.1186036552564,131.09819546996766,121.93979082958619,130.39654541015625,383366,0.0,0
2011-08-22,131.43049820298913,134.20017719547914,130.0271986880686,133.16616821289062,176545,0.0,0
2011-08-23,134.20017719547914,136.37898908226742,131.79978873532113,133.16616821289062,383793,0.0,0
2011-08-24,115.88340432341035,132.9446372826229,115.88340432341035,132.3907012939453,103210,0.0,0
2011-08-25,132.2060330746111,132.39067837220134,124.82022117100153,125.92809295654297,758353,0.0,0
2011-08-26,126.3712574805421,128.40235593568323,123.712360449506,124.93101501464844,354815,0.0,0
2011-08-29,125.55880864136684,127.40526170962222,122.64141504749433,125.0787353515625,194875,0.0,0
2011-08-30,125.59575052405972,132.72305545925963,125.59575052405972,132.31683349609375,379682,0.0,0
2011-09-02,134.53256166198736,140.2565659870873,128.66084335021065,137.44996643066406,262654,0.0,0
2011-09-05,137.89313260015598,138.85329058690914,133.83093526915596,134.31101989746094,218302,0.0,0
2011-09-06,134.4217962206517,136.9698994444895,132.94463362482034,134.82801818847656,146282,0.0,0
2011-09-07,135.52963735445383,137.7453807444449,134.23712037695904,134.71719360351562,78864,0.0,0
2011-09-08,134.79110631198748,136.30520044508,129.768750507761,130.1749725341797,262987,0.0,0
2011-09-09,131.43055220294562,134.42180899780223,129.2517394209637,132.2429962158203,106637,0.0,0
2011-09-12,130.06416449930356,132.20604564709637,128.5500706611059,130.24880981445312,49661,0.0,0
2011-09-13,131.2828138354703,133.49855752889596,129.14093277310093,129.51022338867188,45513,0.0,0
2011-09-14,130.06417060848597,132.87077051470246,125.22646087036617,127.4052734375,163630,0.0,0
2011-09-15,128.43926741020056,129.99029245309418,126.96210499596084,128.06997680664062,91505,0.0,0
2011-09-16,129.36248660853184,131.39358481332945,127.95918690224971,129.28863525390625,231405,0.0,0
2011-09-19,129.1778628906121,130.69195678647603,127.81149426837865,129.43637084960938,212461,0.0,0
2011-09-20,130.35958298053944,130.72887358388374,126.7036082614018,127.0728988647461,155934,0.0,0
2011-09-21,127.22062296224252,127.58991359493407,125.92810574782204,126.3343276977539,117057,0.0,0
2011-09-22,125.33725497874475,126.66670368539086,122.27214683190996,123.19537353515625,180369,0.0,0
