Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-08-18,624.0,694.0,624.0,662.9000244140625,689,0,0
2011-08-19,664.9000244140625,664.9000244140625,635.0,638.6500244140625,53,0,0
2011-08-22,636.5,647.0,620.0,643.7000122070312,110,0,0
2011-08-23,632.0,655.0,626.0,633.4000244140625,163,0,0
2011-08-24,639.0,664.0,630.6500244140625,630.6500244140625,11,0,0
2011-08-25,631.0,632.0,622.0499877929688,622.5,58,0,0
2011-08-26,622.0,631.0,611.5499877929688,614.25,274,0,0
2011-08-29,615.0,631.0,610.1500244140625,617.9000244140625,89,0,0
2011-08-30,624.0,632.9000244140625,613.0,615.7000122070312,932,0,0
2011-09-02,623.4500122070312,649.0,615.0,621.75,148,0,0
2011-09-05,616.0,631.3499755859375,610.0999755859375,630.4500122070312,43,0,0
2011-09-06,638.9500122070312,655.0,630.0,639.7999877929688,406,0,0
2011-09-07,625.0999755859375,709.9500122070312,625.0999755859375,657.75,1377,0,0
2011-09-08,631.0,688.0,631.0,670.0,45,0,0
2011-09-09,655.0999755859375,655.0999755859375,655.0999755859375,655.0999755859375,4,0,0
2011-09-12,635.0,659.0,635.0,639.2000122070312,67,0,0
2011-09-13,645.0,666.0,635.4000244140625,647.6500244140625,60,0,0
2011-09-14,632.0499877929688,640.0,632.0499877929688,635.0,39,0,0
2011-09-15,641.0,657.0,633.0999755859375,642.0499877929688,96,0,0
2011-09-16,635.0,644.5999755859375,628.0499877929688,636.75,75,0,0
2011-09-19,625.0,658.9500122070312,625.0,629.0499877929688,42,0,0
2011-09-20,670.0,698.9000244140625,636.0,653.5,275,0,0
2011-09-21,643.2000122070312,651.0,641.0,642.9000244140625,99,0,0
2011-09-22,634.0,651.0,625.0,625.5999755859375,96,0,0
2011-09-23,611.0,644.0,611.0,644.0,79,0,0
2011-09-26,610.25,639.75,610.0,625.25,404,0,0
2011-09-27,625.0,641.0,622.0,630.4500122070312,126,0,0
2011-09-28,625.0,643.7999877929688,625.0,625.2000122070312,21,0,0
2011-09-29,615.0999755859375,636.5,615.0999755859375,630.0499877929688,87,0,0
2011-09-30,626.0,631.8499755859375,619.0499877929688,621.2000122070312,16,0,0
2011-10-03,615.0,619.0,605.5499877929688,607.4500122070312,93,0,0
2011-10-04,611.0499877929688,616.3499755859375,590.0,613.5,231,0,0
2011-10-05,591.0,615.0,591.0,600.0499877929688,40,0,0
2011-10-07,610.0,619.9500122070312,600.0,600.75,214,0,0
2011-10-10,601.0,622.0,596.0,601.3499755859375,72,0,0
2011-10-11,607.0,629.9500122070312,601.3499755859375,601.7000122070312,102,0,0
2011-10-12,600.0,615.0,595.0499877929688,613.0,26,0,0
2011-10-13,610.0,619.0,591.0499877929688,591.0499877929688,227,0,0
2011-10-14,600.0,624.9000244140625,596.0,600.0499877929688,190,0,0
2011-10-17,624.0,624.0,590.2000122070312,597.0999755859375,26,0,0
2011-10-18,602.0,602.0,590.1500244140625,590.1500244140625,37,0,0
2011-10-19,615.0,621.9500122070312,593.7000122070312,601.5,128,0,0
2011-10-20,599.9500122070312,609.0,590.0,602.25,80,0,0
2011-10-21,629.0,675.0,590.2000122070312,614.9000244140625,192,0,0
2011-10-24,600.0499877929688,618.2000122070312,595.0,604.0,96,0,0
2011-10-25,609.9500122070312,620.0,600.0,613.8499755859375,75,0,0
2011-10-28,629.9000244140625,642.0,615.0,629.7000122070312,142,0,0
2011-10-31,636.0,638.5,624.0,630.5999755859375,52,0,0
2011-11-01,620.0,635.9000244140625,615.0999755859375,620.8499755859375,97,0,0
2011-11-02,624.0,637.0,620.0,637.0,12,0,0
2011-11-03,638.0,638.0,610.0,626.0,86,0,0
2011-11-04,635.0,637.0,604.2000122070312,618.5499877929688,201,0,0
2011-11-08,624.9000244140625,624.9000244140625,602.0,621.9000244140625,37,0,0
2011-11-09,610.0,627.0,610.0,612.1500244140625,19,0,0
2011-11-11,629.0,629.0,595.0,601.5,109,0,0
2011-11-14,595.0499877929688,610.0,590.0,605.0,653,0,0
2011-11-15,605.0,610.7000122070312,600.0,600.0,140,0,0
2011-11-16,606.0,608.0,591.0,601.7000122070312,113,0,0
2011-11-17,600.0,611.9000244140625,600.0,602.2000122070312,103,0,0
2011-11-18,591.5499877929688,619.0,590.0,601.0,386,0,0
2011-11-21,595.0,607.5,590.0,590.0,361,0,0
2011-11-22,595.0,610.0,590.0,591.5,33,0,0
2011-11-23,590.0999755859375,595.0,590.0,591.0999755859375,331,0,0
2011-11-24,590.0,595.0,590.0,590.25,85,0,0
2011-11-25,590.0,607.5,590.0,597.4500122070312,49,0,0
2011-11-28,590.0499877929688,607.9500122070312,590.0499877929688,594.0499877929688,228,0,0
2011-11-29,595.0,612.8499755859375,595.0,612.8499755859375,81,0,0
2011-11-30,595.0,608.0999755859375,591.0,602.2999877929688,58,0,0
2011-12-01,603.0999755859375,626.6500244140625,603.0,603.0,21,0,0
2011-12-02,611.5999755859375,625.0,611.0,620.9500122070312,125,0,0
2011-12-05,619.3499755859375,619.3499755859375,619.3499755859375,619.3499755859375,1,0,0
2011-12-07,600.0,610.0,594.0,608.0,63,0,0
2011-12-08,595.0,609.9500122070312,590.0,590.0,40,0,0
2011-12-09,585.0,600.0,581.0,583.0,38,0,0
2011-12-12,583.0999755859375,583.0999755859375,575.1500244140625,575.3499755859375,100,0,0
2011-12-13,580.0,584.5,576.0,576.0,26,0,0
2011-12-14,571.5499877929688,585.0,571.5499877929688,573.0,6,0,0
2011-12-15,570.0,595.0,560.0,560.0499877929688,110,0,0
2011-12-16,584.9000244140625,584.9000244140625,560.0,560.0,561,0,0
2011-12-19,550.2999877929688,550.2999877929688,550.0499877929688,550.2000122070312,9,0,0
2011-12-20,536.25,539.9500122070312,535.0,535.25,184,0,0
2011-12-21,530.0499877929688,574.9500122070312,530.0,530.5999755859375,81,0,0
2011-12-22,520.25,558.0,520.25,558.0,87,0,0
2011-12-23,559.0,559.0,525.0499877929688,532.4500122070312,68,0,0
2011-12-26,534.0,534.0,530.5,530.5,10,0,0
2011-12-27,525.0999755859375,530.5,525.0,525.9500122070312,59,0,0
2011-12-28,545.9500122070312,545.9500122070312,521.0,523.0,32,0,0
2011-12-29,515.0,534.9500122070312,512.5,520.9500122070312,28,0,0
2011-12-30,515.2000122070312,540.0,512.0,526.7000122070312,75,0,0
2012-01-02,510.0,524.9500122070312,510.0,511.75,844,0,0
2012-01-03,515.0499877929688,545.0,510.1000061035156,530.0,302,0,0
2012-01-04,535.0,535.0,510.0,521.3499755859375,158,0,0
2012-01-05,512.0999755859375,531.6500244140625,512.0,523.7000122070312,58,0,0
2012-01-06,520.0,527.75,510.3500061035156,512.0499877929688,211,0,0
2012-01-09,515.0,528.0,512.0,528.0,97,0,0
2012-01-10,533.0499877929688,545.0,527.25,538.9500122070312,47,0,0
2012-01-11,550.0,565.0,550.0,551.5499877929688,71,0,0
2012-01-12,552.0,568.9000244140625,544.0,544.0,46,0,0
2012-01-13,545.0499877929688,555.0,545.0499877929688,550.5,3,0,0
2012-01-16,544.0,562.0,540.0,555.7000122070312,119,0,0
2012-01-17,533.0,574.0,533.0,557.0,39,0,0
2012-01-18,532.0,569.9500122070312,532.0,554.0999755859375,28,0,0
2012-01-19,560.0,589.0,546.0,579.0,348,0,0
2012-01-20,588.0,588.0,555.4000244140625,558.0999755859375,23,0,0
2012-01-23,563.0,570.0,563.0,570.0,38,0,0
2012-01-24,559.9000244140625,590.0,559.9000244140625,589.8499755859375,175,0,0
2012-01-25,590.0,620.0499877929688,590.0,607.0499877929688,365,0,0
2012-01-27,617.0,625.0,609.0,621.75,52,0,0
2012-01-30,620.0,632.0,614.5999755859375,622.6500244140625,232,0,0
2012-01-31,572.0499877929688,661.0,572.0499877929688,656.0,575,0,0
2012-02-01,662.0,674.9000244140625,631.0499877929688,648.1500244140625,95,0,0
2012-02-02,658.0,665.0,642.0,645.0,160,0,0
2012-02-03,650.0,680.0,648.0,660.0,84,0,0
2012-02-06,689.0,783.0,689.0,715.0499877929688,361,0,0
2012-02-07,731.0,858.0499877929688,720.0,853.75,3826,0,0
2012-02-08,928.4000244140625,928.4000244140625,810.0,866.8499755859375,4102,0,0
2012-02-09,885.0,950.0,843.0,907.3499755859375,2665,0,0
2012-02-10,880.0999755859375,946.9500122070312,840.0,865.7000122070312,1641,0,0
2012-02-13,875.0,875.0,823.0,840.75,371,0,0
2012-02-14,838.0499877929688,860.0,823.4000244140625,839.5999755859375,274,0,0
2012-02-15,832.0,846.5499877929688,825.0499877929688,830.5999755859375,502,0,0
2012-02-16,830.0,840.0,820.0,831.0999755859375,212,0,0
2012-02-17,833.0,850.0,820.0,829.9500122070312,242,0,0
2012-02-21,801.75,814.9500122070312,800.0499877929688,805.7000122070312,351,0,0
2012-02-22,812.0,812.0,792.0,792.0,561,0,0
2012-02-23,772.0,772.0,752.0,760.0,145,0,0
2012-02-24,759.0,780.0,755.0,755.2999877929688,179,0,0
2012-02-27,780.0,789.9500122070312,730.0,741.2999877929688,126,0,0
2012-02-28,763.9500122070312,774.7000122070312,754.5,756.3499755859375,109,0,0
2012-02-29,740.0,779.0,732.0499877929688,749.9000244140625,170,0,0
2012-03-01,769.9500122070312,769.9500122070312,740.5499877929688,754.0,54,0,0
2012-03-02,720.0,750.0,717.0,750.0,76,0,0
2012-03-05,740.0,744.0,715.0,744.0,42,0,0
2012-03-06,754.0,754.0,754.0,754.0,0,0,0
2012-03-07,706.7999877929688,706.7999877929688,706.7999877929688,706.7999877929688,100,0,0
2012-03-09,703.5999755859375,729.5999755859375,703.5,729.3499755859375,62,0,0
2012-03-12,700.25,750.0,700.25,748.0499877929688,85,0,0
2012-03-13,731.0,755.0,731.0,750.9000244140625,58,0,0
2012-03-14,737.1500244140625,760.0,735.0,750.0,98,0,0
2012-03-15,731.25,731.25,730.0999755859375,730.2000122070312,79,0,0
2012-03-16,732.0,732.0,731.25,731.2999877929688,28,0,0
2012-03-19,750.0,765.0,730.0,730.0,51,0,0
2012-03-20,706.0499877929688,760.0,705.0499877929688,716.5499877929688,54,0,0
2012-03-21,749.7000122070312,750.0,749.7000122070312,749.7999877929688,27,0,0
2012-03-22,721.0499877929688,759.0,716.5,730.0,109,0,0
2012-03-23,720.0,750.0,709.0,750.0,235,0,0
2012-03-26,722.5,761.0,720.0999755859375,729.0,31,0,0
2012-03-27,741.0,750.0,739.0,740.0,144,0,0
2012-03-28,740.0,740.0,740.0,740.0,0,0,0
2012-03-29,740.0,740.0,740.0,740.0,0,0,0
2012-03-30,708.0999755859375,775.0,708.0999755859375,773.4500122070312,438,0,0
2012-04-02,740.0,771.0,737.0499877929688,771.0,24,0,0
2012-04-03,742.0499877929688,762.0999755859375,742.0499877929688,762.0999755859375,80,0,0
2012-04-04,760.0,788.0,748.0,762.7999877929688,48,0,0
2012-04-09,732.5,757.0,732.5,757.0,27,0,0
2012-04-10,732.4000244140625,778.5,732.4000244140625,737.7999877929688,19,0,0
2012-04-11,772.6500244140625,772.6500244140625,750.0,750.0999755859375,21,0,0
2012-04-12,738.0,743.2999877929688,738.0,743.2999877929688,12,0,0
2012-04-13,735.0,735.0,735.0,735.0,6,0,0
2012-04-16,729.5,735.5499877929688,729.5,731.5999755859375,103,0,0
2012-04-17,730.0,768.0,725.0,765.3499755859375,143,0,0
2012-04-18,749.0,766.0,749.0,752.2999877929688,42,0,0
2012-04-19,751.0,751.0,731.0999755859375,735.0,32,0,0
2012-04-20,731.25,731.25,730.1500244140625,731.0,6,0,0
2012-04-23,730.0,735.0,730.0,734.5,39,0,0
2012-04-24,725.0,725.0,725.0,725.0,5,0,0
2012-04-25,720.0,720.0,720.0,720.0,69,0,0
2012-04-26,730.0,734.9500122070312,730.0,734.9500122070312,25,0,0
2012-04-27,733.0,734.0,722.0,722.0499877929688,323,0,0
2012-04-30,720.0499877929688,749.9500122070312,705.0999755859375,723.0499877929688,89,0,0
2012-05-02,711.0499877929688,749.0,711.0499877929688,721.0,42,0,0
2012-05-03,719.9500122070312,724.9500122070312,710.0,720.6500244140625,36,0,0
2012-05-04,706.0,706.2999877929688,706.0,706.2999877929688,55,0,0
2012-05-07,700.0,700.0,692.0,692.0,6,0,0
2012-05-08,677.0999755859375,677.5,675.1500244140625,677.5,18,0,0
2012-05-09,706.5,709.9500122070312,690.0,693.0499877929688,104,0,0
2012-05-10,670.0999755859375,709.0,670.0,690.0,83,0,0
2012-05-11,671.25,671.25,670.0,670.0,101,0,0
2012-05-14,650.0499877929688,651.0,650.0,650.0,196,0,0
2012-05-15,682.0,682.0,640.0999755859375,682.0,177,0,0
2012-05-16,670.0,680.0,662.1500244140625,670.0,34,0,0
2012-05-17,675.0,675.0,675.0,675.0,5,0,0
2012-05-18,660.0,660.0,660.0,660.0,15,0,0
2012-05-21,650.0999755859375,650.0999755859375,650.0999755859375,650.0999755859375,1,0,0
2012-05-22,682.4500122070312,682.5,672.0,672.0,27,0,0
2012-05-23,680.0,680.0,680.0,680.0,35,0,0
2012-05-24,680.0,680.0,680.0,680.0,0,0,0
2012-05-25,650.0,656.0,650.0,652.0499877929688,19,0,0
2012-05-28,655.0,662.0,650.0,653.0999755859375,175,0,0
2012-05-29,640.0999755859375,640.0999755859375,640.0,640.0,15,0,0
2012-05-30,630.0,630.0,630.0,630.0,2,0,0
2012-05-31,617.25,640.0,617.25,640.0,2,0,0
2012-06-01,635.0,635.0,615.0499877929688,618.25,21,0,0
2012-06-04,602.0,603.0,600.0499877929688,601.2999877929688,50,0,0
2012-06-05,601.2999877929688,601.2999877929688,601.2999877929688,601.2999877929688,0,0,0
2012-06-06,611.3499755859375,631.3499755859375,611.3499755859375,631.3499755859375,100,0,0
2012-06-07,621.4000244140625,661.9500122070312,621.4000244140625,661.9500122070312,23,0,0
2012-06-08,641.0,641.0,630.0999755859375,630.0999755859375,10,0,0
2012-06-11,632.0,661.5999755859375,632.0,640.0,37,0,0
2012-06-12,621.0,630.0,619.5999755859375,630.0,43,0,0
2012-06-13,621.0499877929688,621.0499877929688,621.0,621.0,55,0,0
2012-06-14,623.0,623.0,623.0,623.0,50,0,0
2012-06-15,623.0,623.0,623.0,623.0,0,0,0
2012-06-18,646.0,653.9000244140625,625.75,640.0,43,0,0
2012-06-19,620.1500244140625,630.0,620.0,630.0,37,0,0
2012-06-20,651.7999877929688,651.7999877929688,625.2000122070312,625.2000122070312,34,0,0
2012-06-21,645.0,656.0,624.0,640.25,104,0,0
2012-06-22,621.0499877929688,640.0,621.0499877929688,640.0,11,0,0
2012-06-25,632.0499877929688,632.0499877929688,630.0,630.0,50,0,0
2012-06-26,630.0,630.0,630.0,630.0,0,0,0
2012-06-27,618.3499755859375,650.0,618.3499755859375,647.9000244140625,226,0,0
2012-06-28,624.2000122070312,624.2000122070312,624.2000122070312,624.2000122070312,52,0,0
2012-06-29,621.2999877929688,655.0,621.2999877929688,650.5999755859375,123,0,0
2012-07-02,672.7999877929688,683.0999755859375,656.5499877929688,683.0999755859375,135,0,0
2012-07-03,670.0,670.0,670.0,670.0,24,0,0
2012-07-04,670.0,670.0,670.0,670.0,0,0,0
2012-07-05,662.0999755859375,700.7999877929688,662.0999755859375,700.7999877929688,39,0,0
2012-07-06,750.0,758.9500122070312,735.0,757.9500122070312,199,0,0
2012-07-09,735.0,751.0,735.0,747.75,80,0,0
2012-07-10,725.2000122070312,754.0,725.2000122070312,740.2999877929688,205,0,0
2012-07-11,730.3499755859375,730.3499755859375,730.1500244140625,730.1500244140625,27,0,0
2012-07-12,715.0,715.0,715.0,715.0,10,0,0
2012-07-13,710.0,710.0,701.4000244140625,710.0,9,0,0
2012-07-16,700.0,724.9500122070312,700.0,706.5,207,0,0
2012-07-17,705.0,705.0,700.0,700.0,9,0,0
2012-07-18,715.0,729.9500122070312,700.0,718.5999755859375,73,0,0
2012-07-19,703.0,715.0999755859375,703.0,704.1500244140625,28,0,0
2012-07-20,718.5,718.5,718.5,718.5,1,0,0
2012-07-23,701.0499877929688,710.0,701.0,710.0,10,0,0
2012-07-24,705.5,715.0999755859375,701.0,708.7999877929688,141,0,0
2012-07-25,743.9500122070312,743.9500122070312,743.9500122070312,743.9500122070312,1,0,0
2012-07-26,701.0999755859375,708.0,701.0,708.0,33,0,0
2012-07-27,700.0999755859375,718.0,700.0,700.1500244140625,53,0,0
2012-07-30,700.0499877929688,734.9000244140625,700.0,720.3499755859375,437,0,0
2012-07-31,703.1500244140625,718.5,702.5,714.0999755859375,126,0,0
2012-08-01,702.0,737.9000244140625,702.0,735.25,109,0,0
2012-08-02,711.0999755859375,739.7999877929688,711.0999755859375,725.0,52,0,0
2012-08-03,725.0,725.0,725.0,725.0,0,0,0
2012-08-06,710.25,744.5999755859375,710.25,739.9000244140625,153,0,0
2012-08-07,739.9000244140625,739.9000244140625,739.9000244140625,739.9000244140625,0,0,0
2012-08-08,715.5999755859375,715.5999755859375,710.0,710.4000244140625,24,0,0
2012-08-09,702.0499877929688,730.0,702.0,720.0,63,0,0
2012-08-10,727.0,727.0,720.0,720.0,6,0,0
2012-08-13,710.0499877929688,735.0,710.0499877929688,724.1500244140625,166,0,0
2012-08-14,715.0499877929688,740.0,711.0499877929688,740.0,225,0,0
2012-08-16,720.0499877929688,738.0,720.0,727.5999755859375,151,0,0
2012-08-17,720.0499877929688,750.0,720.0499877929688,727.5999755859375,164,0,0
2012-08-21,760.0,760.0,713.5499877929688,744.9500122070312,4,0,0
2012-08-22,752.0,752.0,722.0,728.6500244140625,7,0,0
2012-08-23,720.0,729.9500122070312,720.0,729.9500122070312,65,0,0
2012-08-24,711.25,749.0,711.1500244140625,746.8499755859375,375,0,0
2012-08-27,720.2999877929688,720.2999877929688,719.0,719.0,26,0,0
2012-08-28,711.0,729.0,700.0,705.5,496,0,0
2012-08-29,755.0,755.0,705.0,723.7000122070312,42,0,0
2012-08-30,705.0,729.0,705.0,729.0,51,0,0
2012-08-31,770.0,770.0,700.0,700.75,97,0,0
2012-09-03,701.0,719.9500122070312,701.0,719.9500122070312,51,0,0
2012-09-04,715.0,715.0,715.0,715.0,28,0,0
2012-09-05,701.0999755859375,715.0,700.0,713.75,169,0,0
2012-09-06,714.9500122070312,714.9500122070312,705.0,708.4000244140625,27,0,0
2012-09-07,721.9500122070312,721.9500122070312,700.0,702.9500122070312,586,0,0
2012-09-10,701.2000122070312,729.0,701.0,728.9500122070312,320,0,0
2012-09-11,701.0499877929688,727.0,701.0499877929688,723.7999877929688,231,0,0
2012-09-12,710.0499877929688,738.9500122070312,710.0,719.0999755859375,149,0,0
2012-09-13,710.0,710.0,701.0,701.25,83,0,0
2012-09-14,702.0,725.0,701.5,714.4500122070312,362,0,0
2012-09-17,708.0,739.9000244140625,708.0,739.9000244140625,398,0,0
2012-09-18,726.0,753.0,725.0,747.4000244140625,329,0,0
2012-09-20,735.0,735.0,720.0,722.6500244140625,58,0,0
2012-09-21,720.0999755859375,747.9500122070312,720.0999755859375,730.2999877929688,199,0,0
2012-09-24,731.0499877929688,745.0,731.0,745.0,30,0,0
2012-09-25,728.0499877929688,730.0,728.0499877929688,730.0,240,0,0
2012-09-26,720.1500244140625,735.0,715.0,730.25,421,0,0
2012-09-27,721.9000244140625,730.0,720.0,720.0,11,0,0
2012-09-28,730.0,749.9000244140625,720.0,728.5,747,0,0
2012-10-01,730.0,739.9500122070312,720.2000122070312,730.25,206,0,0
2012-10-03,720.5499877929688,730.5,720.0,724.75,68,0,0
2012-10-04,731.9500122070312,739.9000244140625,726.0,735.0,37,0,0
2012-10-05,720.1500244140625,733.4500122070312,720.0,720.8499755859375,31,0,0
2012-10-08,720.0999755859375,729.9500122070312,720.0,724.5499877929688,132,0,0
2012-10-09,733.9000244140625,734.0,733.9000244140625,734.0,25,0,0
2012-10-10,715.0999755859375,729.8499755859375,715.0,715.9000244140625,73,0,0
2012-10-11,711.2999877929688,730.0,711.2000122070312,728.7999877929688,245,0,0
2012-10-12,724.0,728.0,720.0499877929688,722.0,34,0,0
2012-10-15,715.25,716.0,715.25,716.0,75,0,0
2012-10-16,720.0,726.0,720.0,720.0,93,0,0
2012-10-17,715.0,729.8499755859375,715.0,722.0,32,0,0
2012-10-18,715.2000122070312,739.7999877929688,715.2000122070312,730.0,49,0,0
2012-10-19,718.0,718.0,716.0499877929688,716.0999755859375,47,0,0
2012-10-22,715.0,722.9500122070312,712.5,715.0,51,0,0
2012-10-23,710.9000244140625,725.0,710.0,724.5,117,0,0
2012-10-25,729.0,729.0,711.2000122070312,711.2000122070312,62,0,0
2012-10-29,710.2999877929688,715.0,710.0,715.0,48,0,0
2012-10-30,710.0,717.9000244140625,710.0,710.0,39,0,0
2012-10-31,715.0,715.0,710.0,715.0,14,0,0
2012-11-01,710.0,727.0,710.0,718.0,138,0,0
2012-11-02,711.6500244140625,734.0,711.6500244140625,732.0,41,0,0
2012-11-05,711.7000122070312,711.7000122070312,711.7000122070312,711.7000122070312,30,0,0
2012-11-06,712.0,712.0,711.7000122070312,711.9500122070312,43,0,0
2012-11-07,720.0,720.0,711.0999755859375,711.1500244140625,11,0,0
2012-11-08,710.0,729.0,710.0,710.0499877929688,86,0,0
2012-11-09,710.0499877929688,714.0,710.0,710.0999755859375,93,0,0
2012-11-12,710.0499877929688,714.0,708.0,709.0499877929688,76,0,0
2012-11-15,710.0,719.7999877929688,710.0,714.7999877929688,34,0,0
2012-11-16,710.5,719.0,710.0,710.0,78,0,0
2012-11-19,710.0,717.25,710.0,710.0,75,0,0
2012-11-20,710.0,718.9000244140625,710.0,710.0,158,0,0
2012-11-21,710.0,710.0,705.0,705.0999755859375,134,0,0
2012-11-22,705.0,712.6500244140625,705.0,705.0,7,0,0
2012-11-23,707.0,710.0,705.0,705.0,79,0,0
2012-11-26,705.0,718.4500122070312,705.0,718.0,111,0,0
2012-11-27,720.0,725.0,705.0999755859375,710.0499877929688,77,0,0
2012-11-29,724.0,724.0,705.0499877929688,705.0999755859375,163,0,0
2012-11-30,705.2000122070312,724.9500122070312,705.0,715.0,195,0,0
2012-12-03,705.0999755859375,714.9500122070312,705.0,707.9000244140625,78,0,0
2012-12-04,707.0,712.0,705.0499877929688,712.0,28,0,0
2012-12-05,705.0499877929688,715.0999755859375,705.0499877929688,705.0999755859375,52,0,0
2012-12-06,725.0,730.0,705.0,725.7000122070312,557,0,0
2012-12-07,753.0,753.0,716.0,718.9500122070312,251,0,0
2012-12-10,718.0,721.5,715.3499755859375,715.3499755859375,210,0,0
2012-12-11,716.0,716.0,711.7999877929688,714.8499755859375,164,0,0
2012-12-12,710.0499877929688,720.0,710.0,710.0,109,0,0
2012-12-13,710.0499877929688,729.0,710.0,710.0,181,0,0
2012-12-14,710.0,729.0,710.0,722.25,185,0,0
2012-12-17,725.0,730.0,710.0,723.2999877929688,667,0,0
2012-12-18,729.0,750.0,715.0499877929688,730.0,275,0,0
2012-12-19,730.0,758.9500122070312,720.5499877929688,755.0,591,0,0
2012-12-20,735.0,760.0,732.0,751.75,469,0,0
2012-12-21,761.9000244140625,773.9500122070312,737.0,749.6500244140625,392,0,0
2012-12-24,741.9500122070312,753.9000244140625,741.9000244140625,753.9000244140625,215,0,0
2012-12-26,736.0,770.0,736.0,755.5499877929688,270,0,0
2012-12-27,755.0,755.0,742.7000122070312,755.0,98,0,0
2012-12-28,774.75,775.0,741.25,744.2000122070312,336,0,0
2012-12-31,750.0,768.5,742.0,761.7999877929688,247,0,0
2013-01-01,766.0,773.5,750.0499877929688,766.6500244140625,452,0,0
2013-01-02,765.0,781.9500122070312,764.0499877929688,764.0499877929688,131,0,0
2013-01-03,765.0,770.0,761.0,763.1500244140625,125,0,0
2013-01-04,757.0,779.5499877929688,757.0,772.0499877929688,101,0,0
2013-01-07,760.0,843.9500122070312,751.0999755859375,843.9500122070312,622,0,0
2013-01-08,791.1500244140625,910.0,791.1500244140625,860.3499755859375,1838,0,0
2013-01-09,870.0,870.0,820.0,830.5499877929688,320,0,0
2013-01-10,819.9500122070312,819.9500122070312,819.9500122070312,819.9500122070312,4,0,0
2013-01-11,800.25,835.0,800.0999755859375,813.5,268,0,0
2013-01-14,805.0,807.0,780.0,805.0,173,0,0
2013-01-15,807.0499877929688,830.0,800.0999755859375,817.2999877929688,606,0,0
2013-01-16,829.9000244140625,829.9000244140625,800.2000122070312,802.9500122070312,282,0,0
2013-01-17,790.0,827.0,788.5,802.7000122070312,264,0,0
2013-01-18,829.9500122070312,829.9500122070312,800.0499877929688,805.0,101,0,0
2013-01-21,800.0,825.0,800.0,801.5499877929688,74,0,0
2013-01-22,800.1500244140625,819.9500122070312,800.0,801.0499877929688,26,0,0
2013-01-23,803.25,803.25,790.0,790.0,160,0,0
2013-01-24,790.0499877929688,799.0,770.0,774.5999755859375,424,0,0
