Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-08-18,48.0,49.0,46.599998474121094,49.0,490,0,0
2011-08-19,51.5,51.900001525878906,45.599998474121094,50.900001525878906,647,0,0
2011-08-22,48.5,49.099998474121094,48.5,49.099998474121094,101,0,0
2011-08-23,48.0,50.0,48.0,50.0,142,0,0
2011-08-24,48.5,49.0,48.0,48.45000076293945,823,0,0
2011-08-25,47.599998474121094,47.599998474121094,47.54999923706055,47.54999923706055,200,0,0
2011-08-26,50.900001525878906,50.900001525878906,43.5,45.849998474121094,1056,0,0
2011-08-29,48.0,49.0,47.5,48.349998474121094,276,0,0
2011-08-30,49.099998474121094,49.099998474121094,47.20000076293945,48.95000076293945,887,0,0
2011-09-02,47.5,50.0,47.5,50.0,3150,0,0
2011-09-05,50.5,50.5,50.5,50.5,3010,0,0
2011-09-06,48.5,49.599998474121094,46.29999923706055,47.29999923706055,1078,0,0
2011-09-07,51.0,51.0,48.0,48.0,452,0,0
2011-09-08,47.0,52.0,47.0,48.400001525878906,1061,0,0
2011-09-09,50.0,50.0,50.0,50.0,50,0,0
2011-09-12,49.0,50.0,45.0,46.099998474121094,85,0,0
2011-09-13,50.0,53.0,44.650001525878906,49.900001525878906,103,0,0
2011-09-14,48.0,52.70000076293945,46.849998474121094,49.900001525878906,1512,0,0
2011-09-15,48.0,50.0,47.0,50.0,35,0,0
2011-09-16,49.0,49.0,47.04999923706055,47.599998474121094,3167,0,0
2011-09-19,50.95000076293945,50.95000076293945,47.400001525878906,47.900001525878906,3154,0,0
2011-09-20,47.0,49.45000076293945,47.0,49.45000076293945,51,0,0
2011-09-21,48.0,48.0,46.04999923706055,46.099998474121094,102,0,0
2011-09-22,49.45000076293945,49.45000076293945,46.0,46.0,499,0,0
2011-09-23,45.54999923706055,47.0,43.79999923706055,47.0,2384,0,0
2011-09-26,45.0,51.900001525878906,43.849998474121094,45.45000076293945,411,0,0
2011-09-27,46.75,47.900001525878906,45.0,47.900001525878906,1218,0,0
2011-09-28,47.0,49.45000076293945,45.0,49.29999923706055,1545,0,0
2011-09-29,47.0,49.25,46.04999923706055,48.0,521,0,0
2011-09-30,46.150001525878906,47.5,46.150001525878906,47.0,136,0,0
2011-10-03,47.0,47.0,47.0,47.0,0,0,0
2011-10-04,45.0,49.0,43.79999923706055,46.54999923706055,291,0,0
2011-10-05,47.0,47.0,44.0,47.0,397,0,0
2011-10-07,50.95000076293945,51.0,46.900001525878906,47.0,508,0,0
2011-10-10,47.0,47.0,47.0,47.0,0,0,0
2011-10-11,50.25,50.25,46.150001525878906,47.0,3553,0,0
2011-10-12,47.0,47.0,47.0,47.0,3346,0,0
2011-10-13,45.349998474121094,45.349998474121094,45.349998474121094,45.349998474121094,50,0,0
2011-10-14,45.099998474121094,45.099998474121094,45.099998474121094,45.099998474121094,83,0,0
2011-10-17,46.0,49.0,46.0,49.0,911,0,0
2011-10-18,47.0,48.95000076293945,43.849998474121094,45.04999923706055,646,0,0
2011-10-19,44.0,47.900001525878906,42.0,45.849998474121094,415,0,0
2011-10-20,45.599998474121094,45.650001525878906,45.599998474121094,45.599998474121094,1230,0,0
2011-10-21,44.20000076293945,44.29999923706055,44.150001525878906,44.29999923706055,51,0,0
2011-10-24,44.29999923706055,44.29999923706055,44.29999923706055,44.29999923706055,0,0,0
2011-10-25,47.900001525878906,48.0,45.04999923706055,47.5,644,0,0
2011-10-28,46.0,48.45000076293945,44.349998474121094,44.650001525878906,3550,0,0
2011-10-31,45.0,47.0,45.0,47.0,3250,0,0
2011-11-01,46.0,47.599998474121094,44.0,47.5,401,0,0
2011-11-02,47.849998474121094,47.849998474121094,47.0,47.0,483,0,0
2011-11-03,45.099998474121094,45.099998474121094,45.099998474121094,45.099998474121094,6,0,0
