Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-08-18,4.75,4.800000190734863,4.199999809265137,4.550000190734863,117813,0,0
2011-08-19,4.599999904632568,4.599999904632568,4.599999904632568,4.599999904632568,601,0,0
2011-08-22,5.0,5.0,4.599999904632568,4.650000095367432,2616,0,0
2011-08-23,4.599999904632568,4.900000095367432,4.5,4.599999904632568,11599,0,0
2011-08-24,4.599999904632568,4.599999904632568,4.599999904632568,4.599999904632568,0,0,0
2011-08-25,4.75,4.75,4.599999904632568,4.599999904632568,2281,0,0
2011-08-26,4.949999809265137,4.949999809265137,4.599999904632568,4.599999904632568,504,0,0
2011-08-29,4.599999904632568,4.900000095367432,4.599999904632568,4.900000095367432,96,0,0
2011-08-30,4.650000095367432,4.650000095367432,4.650000095367432,4.650000095367432,800,0,0
2011-09-02,4.650000095367432,4.650000095367432,4.650000095367432,4.650000095367432,0,0,0
2011-09-05,4.650000095367432,4.849999904632568,4.650000095367432,4.699999809265137,3003,0,0
2011-09-06,4.699999809265137,4.949999809265137,4.699999809265137,4.800000190734863,4099,0,0
2011-09-07,4.699999809265137,5.349999904632568,4.699999809265137,5.0,6171,0,0
2011-09-08,5.25,5.25,5.0,5.099999904632568,804,0,0
2011-09-09,5.300000190734863,5.300000190734863,4.849999904632568,4.900000095367432,2069,0,0
2011-09-12,4.900000095367432,5.300000190734863,4.900000095367432,5.0,1340,0,0
2011-09-13,4.900000095367432,5.300000190734863,4.900000095367432,4.949999809265137,5671,0,0
2011-09-14,4.75,5.150000095367432,4.75,5.150000095367432,343,0,0
2011-09-15,5.099999904632568,5.099999904632568,4.800000190734863,4.949999809265137,551,0,0
2011-09-16,4.75,4.949999809265137,4.75,4.75,3193,0,0
2011-09-19,4.900000095367432,5.0,4.900000095367432,5.0,200,0,0
2011-09-20,4.699999809265137,4.949999809265137,4.599999904632568,4.800000190734863,28037,0,0
2011-09-21,4.849999904632568,4.849999904632568,4.75,4.75,30523,0,0
2011-09-22,4.900000095367432,4.900000095367432,4.5,4.5,38424,0,0
2011-09-23,4.5,4.75,4.5,4.550000190734863,54089,0,0
2011-09-26,4.75,4.75,4.5,4.550000190734863,26098,0,0
2011-09-27,5.0,5.25,4.800000190734863,5.050000190734863,47866,0,0
2011-09-28,5.199999809265137,5.300000190734863,5.050000190734863,5.150000095367432,42672,0,0
2011-09-29,5.199999809265137,5.199999809265137,4.900000095367432,4.900000095367432,31535,0,0
2011-09-30,5.150000095367432,5.199999809265137,4.849999904632568,4.849999904632568,6317,0,0
2011-10-03,4.849999904632568,4.849999904632568,4.849999904632568,4.849999904632568,2127,0,0
2011-10-04,4.650000095367432,4.75,4.349999904632568,4.5,17305,0,0
2011-10-05,4.5,4.800000190734863,4.199999809265137,4.400000095367432,12739,0,0
2011-10-07,4.400000095367432,4.550000190734863,4.349999904632568,4.400000095367432,23694,0,0
2011-10-10,4.25,4.599999904632568,4.25,4.400000095367432,4784,0,0
2011-10-11,4.300000190734863,4.349999904632568,4.150000095367432,4.199999809265137,29306,0,0
2011-10-12,4.25,4.300000190734863,4.150000095367432,4.150000095367432,7292,0,0
2011-10-13,4.349999904632568,4.349999904632568,4.199999809265137,4.25,1902,0,0
2011-10-14,4.25,4.400000095367432,4.25,4.349999904632568,4315,0,0
2011-10-17,4.099999904632568,4.349999904632568,4.099999904632568,4.150000095367432,33627,0,0
2011-10-18,4.0,4.400000095367432,4.0,4.150000095367432,5926,0,0
2011-10-19,4.25,4.25,4.150000095367432,4.25,2100,0,0
2011-10-20,4.099999904632568,4.099999904632568,3.950000047683716,4.0,31252,0,0
2011-10-21,4.150000095367432,4.199999809265137,3.950000047683716,4.050000190734863,5247,0,0
2011-10-24,4.050000190734863,4.099999904632568,4.0,4.0,3602,0,0
2011-10-25,4.099999904632568,4.099999904632568,3.9000000953674316,3.950000047683716,5354,0,0
2011-10-28,4.25,4.25,4.099999904632568,4.099999904632568,110,0,0
2011-10-31,4.25,4.25,4.0,4.150000095367432,6828,0,0
2011-11-01,4.099999904632568,4.199999809265137,4.050000190734863,4.199999809265137,16503,0,0
2011-11-02,4.0,4.199999809265137,4.0,4.050000190734863,7343,0,0
2011-11-03,4.0,4.150000095367432,3.9000000953674316,4.0,20801,0,0
2011-11-04,3.299999952316284,4.150000095367432,3.299999952316284,4.150000095367432,2051,0,0
2011-11-08,4.050000190734863,4.050000190734863,4.0,4.0,2810,0,0
2011-11-09,4.0,4.150000095367432,4.0,4.0,2053,0,0
2011-11-11,4.150000095367432,4.150000095367432,4.099999904632568,4.099999904632568,11004,0,0
2011-11-14,4.050000190734863,4.199999809265137,4.0,4.150000095367432,531,0,0
2011-11-15,4.0,4.0,3.75,3.75,30857,0,0
2011-11-16,3.8499999046325684,3.8499999046325684,3.799999952316284,3.799999952316284,700,0,0
