Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-10-17,612.936145106684,638.8427259962806,612.936145106684,621.4788208007812,6334,0.0,0
2017-10-18,604.4862364992794,626.7250271953471,604.4862364992794,616.9288330078125,744,0.0,0
2017-10-19,636.0569809534484,694.5556521944225,619.3430748845986,619.9466552734375,1452,0.0,0
2017-10-23,591.7187243057994,634.6641789925679,580.3439822536283,619.807373046875,2370,0.0,0
2017-10-24,607.3647721719462,622.1287456717537,604.9041477047895,611.5897216796875,326,0.0,0
2017-10-25,632.5749343895154,633.5499009351992,603.5577355643084,613.7717895507812,3097,0.0,0
2017-10-26,617.5323879402732,635.9176732081628,596.1293140886017,604.4862670898438,1977,0.0,0
2017-10-27,617.3931387536188,617.3931387536188,550.0732396468582,609.6397094726562,8564,0.0,0
2017-10-30,609.6397419445599,609.6397419445599,585.2652944179673,604.53271484375,1368,0.0,0
2017-10-31,596.1293025173788,622.1287113499125,594.2722018864836,608.5718994140625,1547,0.0,0
2017-11-01,609.1754891699926,622.1287788099086,609.1754891699926,616.8824462890625,2604,0.0,0
2017-11-02,617.4860025059143,625.3786807334335,603.650579178576,618.5073852539062,5747,0.0,0
2017-11-03,616.6502433960129,622.0822967598008,603.557706584406,604.9969482421875,2500,0.0,0
2017-11-06,603.5576965265388,617.4395348814918,603.5576965265388,608.3861694335938,1141,0.0,0
2017-11-07,626.6786116367779,626.6786116367779,596.1292845115925,603.743408203125,941,0.0,0
2017-11-08,603.6970444827125,612.7504105715798,603.5577392578125,603.5577392578125,1955,0.0,0
2017-11-09,612.8432429387019,612.8432429387019,603.5577392578125,603.5577392578125,1073,0.0,0
2017-11-10,604.8577444362784,616.5574566365008,604.1148587877035,615.62890625,2015,0.0,0
2017-11-13,615.6288719321302,625.1000966813136,607.7361940868465,617.7645263671875,2534,0.0,0
2017-11-14,617.485961401803,626.7250483997254,603.5577066333414,607.87548828125,3213,0.0,0
2017-11-15,605.507662121512,612.8432325750513,603.5113128684106,604.0684204101562,7235,0.0,0
2017-11-16,603.5577964869492,608.200548767618,588.1438815848176,604.161376953125,2421,0.0,0
2017-11-17,612.8432498466276,618.4145521179606,606.4362295649078,614.0503540039062,888,0.0,0
2017-11-20,604.4862548109717,622.1287107885577,604.4862548109717,619.6680297851562,1825,0.0,0
2017-11-21,603.743437036462,635.128426914653,603.743437036462,605.971923828125,7364,0.0,0
2017-11-22,620.6430964094221,620.6430964094221,594.1794105901785,595.61865234375,11677,0.0,0
2017-11-23,594.2722198109568,603.557723245503,592.4151191240476,601.7006225585938,4450,0.0,0
2017-11-24,612.8432304370106,622.1287339284804,598.9149751998058,603.9755859375,2142,0.0,0
2017-11-27,603.5577737745216,603.5577737745216,591.4866182990312,601.422119140625,8022,0.0,0
2017-11-28,602.6291901846234,614.7003449957176,598.9149887042869,599.1935424804688,3428,0.0,0
2017-11-29,603.5577001048114,604.3934180515648,598.9149485655437,598.9613647460938,2995,0.0,0
2017-11-30,598.9149544947135,611.8682427523488,598.9149544947135,604.2077026367188,1395,0.0,0
2017-12-01,604.2541491784782,604.2541491784782,591.4865816775883,596.1293334960938,4324,0.0,0
2017-12-04,594.272216796875,607.2255053572123,594.272216796875,594.272216796875,854,0.0,0
