Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-11-27,354.3673095703125,354.3673095703125,354.3673095703125,354.3673095703125,1205,0.0,0
2012-11-29,336.66314697265625,336.66314697265625,336.66314697265625,336.66314697265625,764,0.0,0
2012-11-30,319.85839843750006,319.85839843750006,319.85839843750006,319.8583984375,151,0.0,0
2012-12-03,303.90570068359375,303.90570068359375,303.90570068359375,303.90570068359375,5313,0.0,0
2012-12-04,288.7104187011719,288.7104187011719,288.7104187011719,288.7104187011719,2033,0.0,0
2012-12-05,274.3198998304178,302.6749795493224,274.3198998304178,288.4264221191406,38511,0.0,0
2012-12-06,283.0772790380271,299.07729337908415,274.5565582643072,294.6749267578125,59003,0.0,0
2012-12-07,288.75776020484454,298.22522775254436,285.0180989665359,294.8642883300781,20519,0.0,0
2012-12-10,301.39682584478743,301.39682584478743,285.91751110420546,290.08319091796875,4707,0.0,0
2012-12-11,284.02402593495094,293.49149346611597,280.42639983007547,292.4027404785156,3628,0.0,0
2012-12-12,294.6276238616556,294.6276238616556,283.976722067222,285.91754150390625,6202,0.0,0
2012-12-13,272.6630930288756,286.8642957907962,272.6630930288756,280.8524475097656,60544,0.0,0
2012-12-14,288.7577738178585,288.7577738178585,276.59207166704846,281.3258056640625,8304,0.0,0
2012-12-17,277.49150746266565,285.87022286211544,272.23704511067535,279.337646484375,3969,0.0,0
2012-12-18,247.33761550695135,280.1897428843646,247.33761550695135,274.4145812988281,6801,0.0,0
2012-12-19,270.01220638118684,282.13055419921875,269.6334845367819,275.5033264160156,3055,0.0,0
2012-12-20,251.83465606657907,290.6512759866157,251.83465606657907,268.4974060058594,10200,0.0,0
2012-12-21,255.8109819212136,277.39679613887574,252.7813807818424,265.3257751464844,9846,0.0,0
2012-12-24,238.1541523162219,268.45003443794496,238.1541523162219,257.79913330078125,5355,0.0,0
2012-12-26,252.7814032232012,264.14236516581695,252.7814032232012,258.6512451171875,3357,0.0,0
2012-12-27,254.67488087912096,266.03584210792934,248.04765349564943,258.3671875,12324,0.0,0
2012-12-28,258.4618835449219,268.8760986328125,257.51513671875,262.2488708496094,4294,0.0,0
2012-12-31,258.9352409201483,267.9293352117074,250.93521917753102,256.8523864746094,16751,0.0,0
2013-01-01,258.9352060542049,279.2902588153216,258.9352060542049,268.3553466796875,2230,0.0,0
2013-01-02,265.08911165596663,272.6630862747085,257.51513703722475,262.8169250488281,10559,0.0,0
2013-01-03,259.4085928673422,265.0890730031234,254.67485942085784,259.36126708984375,14504,0.0,0
2013-01-04,257.5151373659578,261.20744421882387,255.6689694933146,258.6512451171875,5266,0.0,0
2013-01-07,255.6216271752102,258.46186747715694,250.8878933386322,255.9056396484375,4997,0.0,0
2013-01-08,250.8878711969522,263.43226475679984,250.8878711969522,255.76361083984375,6945,0.0,0
2013-01-09,251.92930580810938,257.3730994013839,251.83462535843864,252.7813720703125,2398,0.0,0
2013-01-10,220.16596996810455,255.1482611384798,220.16596996810455,248.09498596191406,3899,0.0,0
2013-01-11,248.0476606411901,248.0476606411901,237.68078611050444,242.1304931640625,3563,0.0,0
2013-01-14,238.58018534892315,246.01215325037924,238.58018534892315,245.20741271972656,1817,0.0,0
2013-01-15,241.42041794164967,246.01214539470965,227.45590357051503,243.0772247314453,6092,0.0,0
2013-01-16,250.60389627543475,250.60389627543475,228.21332518386382,240.6630401611328,4535,0.0,0
2013-01-17,240.04766098196737,248.04766878443715,232.42634613198214,246.2488555908203,7252,0.0,0
2013-01-18,241.4204183758842,254.29617980108154,237.8227778794724,247.8109588623047,5034,0.0,0
2013-01-21,248.14233401280944,250.88789386530453,243.0772330185545,248.61570739746094,1907,0.0,0
2013-01-22,251.73997563099172,251.73997563099172,240.473694163245,247.66897583007812,4414,0.0,0
2013-01-23,250.41452747026204,250.41452747026204,239.52693931938109,242.31983947753906,4902,0.0,0
2013-01-24,244.73404674700157,245.6807935429281,226.74585762439798,238.81687927246094,30215,0.0,0
2013-01-25,239.4322583377207,239.47959856664554,227.45591717642603,231.62159729003906,6237,0.0,0
2013-01-28,235.73995938013772,235.73995938013772,223.71627759416788,227.59793090820312,2632,0.0,0
2013-01-29,223.43222881610575,231.95294940655046,222.6748285410467,230.76951599121094,2880,0.0,0
2013-01-30,227.26657866923367,237.7281339949219,223.66893783804636,234.60386657714844,2675,0.0,0
2013-01-31,228.2606503586964,245.20741163946536,216.61566228348767,226.55650329589844,33709,0.0,0
2013-02-01,223.432235729692,227.21922277595795,215.2428820206255,225.9884490966797,3976,0.0,0
2013-02-04,221.01803626181575,225.04171013798623,214.438148930026,217.60975646972656,3453,0.0,0
2013-02-05,215.85826031880808,216.8050070745923,207.62156643272695,209.60972595214844,5247,0.0,0
2013-02-06,204.49729953955742,213.72808042155134,199.1481861402702,209.2310333251953,17853,0.0,0
2013-02-07,196.02394743828305,213.0180513090277,195.97660720430548,206.296142578125,18993,0.0,0
2013-02-08,202.65114548100803,205.7754126568783,193.1363377188522,196.73397827148438,9629,0.0,0
2013-02-11,197.6333844999772,197.6333844999772,187.45585691494844,190.86415100097656,15831,0.0,0
2013-02-12,192.1895980400161,192.1895980400161,181.1126635052768,187.0298309326172,2030,0.0,0
2013-02-13,185.56237760858775,190.4381179764518,181.8700707713907,187.83456420898438,4250,0.0,0
